Fiscal_Year,Metric,Unit,Basis,Value
2020,Annual premium equivalent (APE),$m,AER,3808.0
2020,Annual premium equivalent (APE),$m,CER,3890.0
2020,"Closing EEV shareholders' equity, net of non-controlling interests",$m,AER,41926.0
2020,"Closing EEV shareholders' equity, net of non-controlling interests",$m,CER,41350.0
2020,"Closing EEV shareholders’ equity, net of non-controlling interests per share (in cents)",$m,AER,1607.0
2020,"Closing EEV shareholders’ equity, net of non-controlling interests per share (in cents)",$m,CER,1585.0
2020,EEV operating profit,$m,AER,3401.0
2020,EEV operating profit,$m,CER,3444.0
2020,"EEV operating profit, net of non-controlling interests",$m,AER,3391.0
2020,"EEV operating profit, net of non-controlling interests",$m,CER,3434.0
2020,New business margin (APE),%,AER,58.0
2020,New business margin (APE),%,CER,58.0
2020,New business profit,$m,AER,2201.0
2020,New business profit,$m,CER,2240.0
2020,Operating free surplus generated,$m,AER,1888.0
2020,Operating free surplus generated,$m,CER,1928.0
2020,"Operating return on average EEV shareholders’ equity, net of non-controlling interests",%,AER,8.0
2020,Present value of new business premiums (PVNBP),$m,AER,21587.0
2020,Present value of new business premiums (PVNBP),$m,CER,22041.0
2021,Annual premium equivalent (APE),$m,AER,4194.0
2021,Annual premium equivalent (APE),$m,CER,4013.0
2021,"Closing EEV shareholders' equity, net of non-controlling interests",$m,AER,47355.0
2021,"Closing EEV shareholders' equity, net of non-controlling interests",$m,CER,46256.0
2021,"Closing EEV shareholders’ equity, net of non-controlling interests per share (in cents)",$m,AER,1725.0
2021,"Closing EEV shareholders’ equity, net of non-controlling interests per share (in cents)",$m,CER,1684.0
2021,EEV operating profit,$m,AER,3543.0
2021,EEV operating profit,$m,CER,3429.0
2021,"EEV operating profit, net of non-controlling interests",$m,AER,3515.0
2021,"EEV operating profit, net of non-controlling interests",$m,CER,3401.0
2021,New business margin (APE),%,AER,60.0
2021,New business margin (APE),%,CER,61.0
2021,New business profit,$m,AER,2526.0
2021,New business profit,$m,CER,2443.0
2021,Operating free surplus generated,$m,AER,2071.0
2021,Operating free surplus generated,$m,CER,2004.0
2021,"Operating return on average EEV shareholders’ equity, net of non- controlling interests",%,AER,8.0
2021,"Operating return on average EEV shareholders’ equity, net of non-controlling interests",%,AER,8.0
2021,Present value of new business premiums (PVNBP),$m,AER,24153.0
2021,Present value of new business premiums (PVNBP),$m,CER,23281.0
2022,Annual premium equivalent (APE),$m,AER,4393.0
2022,"Closing EEV shareholders' equity, net of non-controlling interests",$m,AER,42184.0
2022,"Closing EEV shareholders’ equity, net of non-controlling interests per share (in cents)",$m,AER,1534.0
2022,EEV operating profit,$m,AER,3952.0
2022,"EEV operating profit, net of non-controlling interests",$m,AER,3923.0
2022,New business margin (APE),%,AER,50.0
2022,New business profit,$m,AER,2184.0
2022,Operating free surplus generated,$m,AER,2193.0
2022,"Operating return on average EEV shareholders’ equity, net of non- controlling interests",%,AER,9.0
2022,Present value of new business premiums (PVNBP),$m,AER,22406.0
