Fiscal_Year,Line_Item,Segment,Value_$m
2020,(Loss) profit for the year,Group_Total,33.0
2020,(Loss) profit for the year attributable to equity holders of the Company,Group_Total,153.0
2020,Asset management,Group_Total,253.0
2020,Asset management and other,Group_Total,-1756.0
2020,At beginning of year: Long-term business,Group_Total,37902.0
2020,Contribution to Group EEV: At end of year: Long-term business,Group_Total,42861.0
2020,Discontinued US operations,Group_Total,12081.0
2020,Effect of changes in economic assumptions,Group_Total,-996.0
2020,Equity items from discontinued US operations net of non-controlling interest,Group_Total,-450.0
2020,Foreign exchange movements on operations,Group_Total,563.0
2020,Goodwill attributable to equity holders,Group_Total,821.0
2020,Long-term business,Group_Total,4127.0
2020,Loss attaching to corporate transactions,Group_Total,-121.0
2020,Loss for the year from discontinued US operations,Group_Total,-3941.0
2020,Mark-to-market value movements on core structural borrowings,Group_Total,-247.0
2020,Net (decrease) increase in shareholders' equity,Group_Total,-704.0
2020,New business profit,Group_Total,2201.0
2020,New share capital subscribed,Group_Total,13.0
2020,Non-controlling interests share of loss from discontinued US operations,Group_Total,130.0
2020,Non-controlling interests share of profit from continuing operations,Group_Total,-10.0
2020,Non-operating results,Group_Total,573.0
2020,Operating profit (loss) before restructuring and IFRS 17 implementation costs,Group_Total,3554.0
2020,Operating profit (loss) for the year,Group_Total,3401.0
2020,Operating profit from long-term and asset management businesses,Group_Total,4380.0
2020,Other external dividends,Group_Total,-814.0
2020,Other income and expenditure,Group_Total,-826.0
2020,Other movements,Group_Total,-169.0
2020,Profit (loss) for the year from continuing operations,Group_Total,3974.0
2020,Profit from in-force business,Group_Total,1926.0
2020,Restructuring and IFRS 17 implementation costs,Group_Total,-153.0
2020,Shareholders' equity at beginning of year,Group_Total,54711.0
2020,Shareholders' equity at end of year,Group_Total,54007.0
2020,"Shareholders' equity, excluding goodwill attributable to equity holders",Group_Total,41105.0
2020,Short-term fluctuations in investment returns,Group_Total,1937.0
2021,(Loss) profit attaching to corporate transactions,Group_Total,-35.0
2021,(Loss) profit for the year,Group_Total,-7615.0
2021,(Loss) profit for the year,Insurance_and_AM,3747.0
2021,(Loss) profit for the year,Other_Central,-510.0
2021,(Loss) profit for the year attributable to equity holders of the Company,Group_Total,-6450.0
2021,(Loss) profit for the year attributable to equity holders of the Company,Insurance_and_AM,3707.0
2021,(Loss) profit for the year attributable to equity holders of the Company,Other_Central,-510.0
2021,(Loss) profit from continuing operations,Group_Total,3237.0
2021,Asset management,Group_Total,284.0
2021,Asset management,Insurance_and_AM,284.0
2021,Asset management and other,Group_Total,1931.0
2021,Asset management and other,Insurance_and_AM,690.0
2021,Asset management and other,Other_Central,1241.0
2021,At beginning of year: Long-term business,Group_Total,42861.0
2021,At beginning of year: Long-term business,Insurance_and_AM,42861.0
2021,Contribution to Group EEV: At end of year: Long-term business,Group_Total,44646.0
2021,Contribution to Group EEV: At end of year: Long-term business,Insurance_and_AM,44646.0
2021,Demerger dividend in specie from Jackson,Group_Total,-1735.0
2021,Demerger dividend in specie from Jackson,Other_Central,493.0
2021,Discontinued US operations,Group_Total,12081.0
2021,Effect of changes in economic assumptions,Group_Total,412.0
2021,Effect of changes in economic assumptions,Insurance_and_AM,412.0
2021,Equity items from discontinued US operations net of non-controlling interest,Group_Total,-206.0
2021,Foreign exchange movements on operations,Group_Total,-460.0
2021,Foreign exchange movements on operations,Insurance_and_AM,-513.0
2021,Foreign exchange movements on operations,Other_Central,53.0
2021,Goodwill attributable to equity holders,Group_Total,778.0
2021,Goodwill attributable to equity holders,Insurance_and_AM,778.0
2021,Intra-group dividends and investment in operations,Insurance_and_AM,-1312.0
2021,Intra-group dividends and investment in operations,Other_Central,1312.0
2021,Long-term business,Group_Total,4156.0
2021,Long-term business,Insurance_and_AM,4156.0
2021,Loss attaching to corporate transactions,Group_Total,-35.0
2021,Loss attaching to corporate transactions,Other_Central,-35.0
2021,Loss for the year from discontinued US operations,Group_Total,-10852.0
2021,Loss from discontinued US operations,Group_Total,-10852.0
2021,Mark-to-market value movements on core structural borrowings,Group_Total,357.0
2021,Mark-to-market value movements on core structural borrowings,Other_Central,357.0
2021,Net (decrease) increase in shareholders' equity,Group_Total,-6652.0
2021,Net (decrease) increase in shareholders' equity,Insurance_and_AM,1797.0
2021,Net (decrease) increase in shareholders' equity,Other_Central,3632.0
2021,New business profit,Group_Total,2526.0
2021,New business profit,Insurance_and_AM,2526.0
2021,New share capital subscribed,Group_Total,2382.0
2021,New share capital subscribed,Other_Central,2382.0
2021,Non-controlling interests share of loss from discontinued US operations,Group_Total,1205.0
2021,Non-controlling interests share of profit from continuing operations,Group_Total,-40.0
2021,Non-controlling interests share of profit from continuing operations,Insurance_and_AM,-40.0
2021,Non-operating results,Group_Total,-306.0
2021,Non-operating results,Insurance_and_AM,-603.0
2021,Non-operating results,Other_Central,297.0
2021,Operating profit (loss) before restructuring and IFRS 17 implementation costs,Group_Total,3717.0
2021,Operating profit (loss) before restructuring and IFRS 17 implementation costs,Insurance_and_AM,4440.0
2021,Operating profit (loss) before restructuring and IFRS 17 implementation costs,Other_Central,-723.0
2021,Operating profit (loss) for the year,Group_Total,3543.0
2021,Operating profit (loss) for the year,Insurance_and_AM,4350.0
2021,Operating profit (loss) for the year,Other_Central,-807.0
2021,Operating profit from long-term and asset management businesses,Group_Total,4440.0
2021,Operating profit from long-term and asset management businesses,Insurance_and_AM,4440.0
2021,Other external dividends,Group_Total,-421.0
2021,Other external dividends,Other_Central,-421.0
2021,Other income (expenditure),Group_Total,-723.0
2021,Other income and expenditure,Group_Total,-723.0
2021,Other income and expenditure,Other_Central,-723.0
2021,Other movements,Group_Total,238.0
2021,Other movements,Insurance_and_AM,-85.0
2021,Other movements,Other_Central,323.0
2021,Profit (loss) for the year from continuing operations,Group_Total,3237.0
2021,Profit (loss) for the year from continuing operations,Insurance_and_AM,3747.0
2021,Profit (loss) for the year from continuing operations,Other_Central,-510.0
2021,Profit from in-force business,Group_Total,1630.0
2021,Profit from in-force business,Insurance_and_AM,1630.0
2021,Restructuring and IFRS 17 implementation costs,Group_Total,-174.0
2021,Restructuring and IFRS 17 implementation costs,Insurance_and_AM,-90.0
2021,Restructuring and IFRS 17 implementation costs,Other_Central,-84.0
2021,Shareholders' equity at beginning of year,Group_Total,54007.0
2021,Shareholders' equity at beginning of year,Insurance_and_AM,44317.0
2021,Shareholders' equity at beginning of year,Other_Central,-2391.0
2021,Shareholders' equity at end of year,Group_Total,47355.0
2021,Shareholders' equity at end of year,Insurance_and_AM,46114.0
2021,Shareholders' equity at end of year,Other_Central,1241.0
2021,"Shareholders' equity, excluding goodwill attributable to equity holders",Group_Total,46577.0
2021,"Shareholders' equity, excluding goodwill attributable to equity holders",Insurance_and_AM,45336.0
2021,"Shareholders' equity, excluding goodwill attributable to equity holders",Other_Central,1241.0
2021,Short-term fluctuations in investment returns,Group_Total,-1040.0
2021,Short-term fluctuations in investment returns,Insurance_and_AM,-1015.0
2021,Short-term fluctuations in investment returns,Other_Central,-25.0
2022,(Loss) profit attaching to corporate transactions,Group_Total,57.0
2022,(Loss) profit attaching to corporate transactions,Insurance_and_AM,-5.0
2022,(Loss) profit attaching to corporate transactions,Other_Central,62.0
2022,(Loss) profit for the year,Group_Total,-3571.0
2022,(Loss) profit for the year,Insurance_and_AM,-3818.0
2022,(Loss) profit for the year,Other_Central,247.0
2022,(Loss) profit for the year attributable to equity holders of the Company,Group_Total,-3600.0
2022,(Loss) profit for the year attributable to equity holders of the Company,Insurance_and_AM,-3847.0
2022,(Loss) profit for the year attributable to equity holders of the Company,Other_Central,247.0
2022,(Loss) profit from continuing operations,Group_Total,-3571.0
2022,(Loss) profit from continuing operations,Insurance_and_AM,-3818.0
2022,(Loss) profit from continuing operations,Other_Central,247.0
2022,Asset management,Group_Total,234.0
2022,Asset management,Insurance_and_AM,234.0
2022,Asset management and other,Group_Total,2565.0
2022,Asset management and other,Insurance_and_AM,643.0
2022,Asset management and other,Other_Central,1922.0
2022,At beginning of year: Long-term business,Group_Total,44646.0
2022,At beginning of year: Long-term business,Insurance_and_AM,44646.0
2022,Contribution to Group EEV: At end of year: Long-term business,Group_Total,38857.0
2022,Contribution to Group EEV: At end of year: Long-term business,Insurance_and_AM,38857.0
2022,Effect of HK RBC,Group_Total,229.0
2022,Effect of HK RBC,Insurance_and_AM,229.0
2022,Effect of changes in economic assumptions,Group_Total,-1571.0
2022,Effect of changes in economic assumptions,Insurance_and_AM,-1571.0
2022,Foreign exchange movements on operations,Group_Total,-1195.0
2022,Foreign exchange movements on operations,Insurance_and_AM,-1195.0
2022,Goodwill attributable to equity holders,Group_Total,762.0
2022,Goodwill attributable to equity holders,Insurance_and_AM,762.0
2022,Intra-group dividends and investment in operations,Insurance_and_AM,-1211.0
2022,Intra-group dividends and investment in operations,Other_Central,1211.0
2022,Long-term business,Group_Total,4542.0
2022,Long-term business,Insurance_and_AM,4542.0
2022,Mark-to-market value movements on core structural borrowings,Group_Total,865.0
2022,Mark-to-market value movements on core structural borrowings,Other_Central,865.0
2022,Net (decrease) increase in shareholders' equity,Group_Total,-5400.0
2022,Net (decrease) increase in shareholders' equity,Insurance_and_AM,-6081.0
2022,Net (decrease) increase in shareholders' equity,Other_Central,681.0
2022,New business profit,Group_Total,2184.0
2022,New business profit,Insurance_and_AM,2184.0
2022,New share capital subscribed,Group_Total,-4.0
2022,New share capital subscribed,Other_Central,-4.0
2022,Non-controlling interests share of profit from continuing operations,Group_Total,-29.0
2022,Non-controlling interests share of profit from continuing operations,Insurance_and_AM,-29.0
2022,Non-operating results,Group_Total,-7523.0
2022,Non-operating results,Insurance_and_AM,-8469.0
2022,Non-operating results,Other_Central,946.0
2022,Operating profit (loss) before restructuring and IFRS 17 implementation costs,Group_Total,4234.0
2022,Operating profit (loss) before restructuring and IFRS 17 implementation costs,Insurance_and_AM,4776.0
2022,Operating profit (loss) before restructuring and IFRS 17 implementation costs,Other_Central,-542.0
2022,Operating profit (loss) for the year,Group_Total,3952.0
2022,Operating profit (loss) for the year,Insurance_and_AM,4651.0
2022,Operating profit (loss) for the year,Other_Central,-699.0
2022,Operating profit from long-term and asset management businesses,Group_Total,4776.0
2022,Operating profit from long-term and asset management businesses,Insurance_and_AM,4776.0
2022,Other external dividends,Group_Total,-474.0
2022,Other external dividends,Other_Central,-474.0
2022,Other income (expenditure),Group_Total,-542.0
2022,Other income (expenditure),Other_Central,-542.0
2022,Other movements,Group_Total,-127.0
2022,Other movements,Insurance_and_AM,172.0
2022,Other movements,Other_Central,-299.0
2022,Profit from in-force business,Group_Total,2358.0
2022,Profit from in-force business,Insurance_and_AM,2358.0
2022,Restructuring and IFRS 17 implementation costs,Group_Total,-282.0
2022,Restructuring and IFRS 17 implementation costs,Insurance_and_AM,-125.0
2022,Restructuring and IFRS 17 implementation costs,Other_Central,-157.0
2022,Shareholders' equity at beginning of year,Group_Total,47355.0
2022,Shareholders' equity at beginning of year,Insurance_and_AM,46114.0
2022,Shareholders' equity at beginning of year,Other_Central,1241.0
2022,Shareholders' equity at end of year,Group_Total,42184.0
2022,Shareholders' equity at end of year,Insurance_and_AM,40262.0
2022,Shareholders' equity at end of year,Other_Central,1922.0
2022,"Shareholders' equity, excluding goodwill attributable to equity holders",Group_Total,41422.0
2022,"Shareholders' equity, excluding goodwill attributable to equity holders",Insurance_and_AM,39500.0
2022,"Shareholders' equity, excluding goodwill attributable to equity holders",Other_Central,1922.0
2022,Short-term fluctuations in investment returns,Group_Total,-6874.0
2022,Short-term fluctuations in investment returns,Insurance_and_AM,-6893.0
2022,Short-term fluctuations in investment returns,Other_Central,19.0
